item,calories
"Chips",570
"Fresh Tomato Salsa",20
"Izze",120
"Nantucket Nectar",240
"Tomatillo-Green Chili Salsa",20
"Chicken Bowl",180
"Tomatillo-Red Chili Salsa (Hot)",20
"Black Beans",120
"Rice",190
"Cheese",100
"Sour Cream",120
"Fresh Tomato Salsa (Mild)",20
"Guacamole",170
"Lettuce",5
"Side of Chips",570
"Steak Burrito",490
"Tomatillo Red Chili Salsa",20
"Fajita Vegetables",20
"Pinto Beans",120
"Steak Soft Tacos",460
"Tomatillo Green Chili Salsa",20
"Chicken Crispy Tacos",390
"Roasted Chili Corn Salsa",80
"Chicken Soft Tacos",450
"Chicken Burrito",480
"Tomatillo-Green Chili Salsa (Medium)",20
"Canned Soda",140
"Barbacoa Burrito",470
"Roasted Chili Corn Salsa (Medium)",80
"Fajita Veggies",20
"Carnitas Burrito",520
"Carnitas Bowl",220
"Bottled Water",0
"Barbacoa Bowl",170
"Chicken Salad Bowl",180
"Steak Bowl",190
"Barbacoa Soft Tacos",440
"Veggie Burrito",320
"Veggie Bowl",20
"Steak Crispy Tacos",400
"Barbacoa Crispy Tacos",380
"Veggie Salad Bowl",20
"Roasted Chili-Corn Salsa",80
"Carnitas Soft Tacos",490
"Chicken Salad",180
"Canned Soft Drink",140
"Steak Salad Bowl",190
"6 Pack Soft Drink",140
"Tomatillo-Red Chili Salsa",20
"Fresh Tomato (Mild)",20
"Bowl",0
"Braised Carnitas",220
"Cilantro-Lime Rice",190
"Burrito",300
"Adobo-Marinated",0
"Grilled Chicken",180
"Salsa",20
"Braised Barbacoa",170
"Vegetarian Black Beans",120
"Crispy Tacos",210
"Grilled Steak",190
"Carnitas Crispy Tacos",430
"Steak Salad",190
"Mild Fresh Tomato Salsa",20
"Roasted Chili Corn (Medium)",80
"Veggie Soft Tacos",230
"White Rice",190
"Carnitas Salad Bowl",220
"Barbacoa Salad Bowl",170
"Tomatillo Red Chili (Hot)",20
"Salad",5
"Brown Rice",200
"Veggie Crispy Tacos",230
"Veggie Salad",25
"Tomatillo Green Chili (Medium)",20
"Carnitas Salad",225
